180, 240,
25, 0, 25, 12, 1,
25, 387, 25, 12, 3,
25, 6, 25, 381, 2,
25, 1125, 25, 12, 1,
25, 1137, 25, 12, 3,
25, 1131, 25, 6, 2,
50, 0, 25, 12, 1,
50, 387, 25, 12, 3,
50, 6, 25, 381, 2,
75, 0, 25, 12, 1,
75, 387, 25, 12, 3,
75, 6, 25, 381, 2,
100, 350, 25, 12, 1,
100, 387, 25, 12, 3,
100, 356, 25, 31, 2,
125, 350, 25, 12, 1,
125, 387, 25, 12, 3,
125, 356, 25, 31, 2,
150, 350, 25, 12, 1,
150, 387, 25, 12, 3,
150, 356, 25, 31, 2,
175, 350, 25, 12, 1,
175, 387, 25, 12, 3,
175, 356, 25, 31, 2,
200, 350, 25, 12, 1,
200, 387, 25, 12, 3,
200, 356, 25, 31, 2,
225, 350, 25, 12, 1,
225, 387, 25, 12, 3,
225, 356, 25, 31, 2,
250, 350, 25, 12, 1,
250, 387, 25, 12, 3,
250, 356, 25, 31, 2,
275, 350, 25, 12, 1,
275, 387, 25, 12, 3,
275, 356, 25, 31, 2,
300, 350, 25, 12, 1,
300, 387, 25, 12, 3,
300, 356, 25, 31, 2,
325, 350, 25, 12, 1,
325, 387, 25, 12, 3,
325, 356, 25, 31, 2,
350, 350, 25, 12, 1,
350, 387, 25, 12, 3,
350, 356, 25, 31, 2,
375, 350, 25, 12, 1,
375, 387, 25, 12, 3,
375, 356, 25, 31, 2,
400, 350, 25, 12, 1,
400, 387, 25, 12, 3,
400, 356, 25, 31, 2,
425, 350, 25, 12, 1,
425, 387, 25, 12, 3,
425, 356, 25, 31, 2,
450, 350, 25, 12, 1,
450, 387, 25, 12, 3,
450, 356, 25, 31, 2,
475, 350, 25, 12, 1,
475, 387, 25, 12, 3,
475, 356, 25, 31, 2,
500, 350, 25, 12, 1,
500, 387, 25, 12, 3,
500, 356, 25, 31, 2,
525, 350, 25, 12, 1,
525, 387, 25, 12, 3,
525, 356, 25, 31, 2,
550, 350, 25, 12, 1,
550, 387, 25, 12, 3,
550, 356, 25, 31, 2,
575, 350, 25, 12, 1,
575, 387, 25, 12, 3,
575, 356, 25, 31, 2,
600, 350, 25, 12, 1,
600, 387, 25, 12, 3,
600, 356, 25, 31, 2,
625, 350, 25, 12, 1,
625, 387, 25, 12, 3,
625, 356, 25, 31, 2,
650, 350, 25, 12, 1,
650, 387, 25, 12, 3,
650, 356, 25, 31, 2,
675, 350, 25, 12, 1,
675, 387, 25, 12, 3,
675, 356, 25, 31, 2,
700, 350, 25, 12, 1,
700, 387, 25, 12, 3,
700, 356, 25, 31, 2,
725, 225, 25, 12, 1,
725, 237, 25, 12, 3,
725, 231, 25, 6, 2,
725, 350, 25, 12, 1,
725, 387, 25, 12, 3,
725, 356, 25, 31, 2,
750, 350, 25, 12, 1,
750, 387, 25, 12, 3,
